Lokalizacja;Numer stacji;Szer. geograficzna;D³. geograficzna;Dzielnica
UKSW II;6352;52.2951013398688;20.9594786167145;Bielany
UKSW II 1;63521;52.295048846244704;20.959478616714478;Bielany
Central Park Ursynów;6353;52.163310893005075;20.992426872253418;Ursynów
ul. Wybrze¿e Szczeciñskie – Stadion Narodowy;6354;52.237166339550825;21.043753623962402;Praga P³d.
ul. Ks. Hlonda;6355;52.16008598500546;21.071643233299252;Wilanów
ul. Przyczó³kowa – Al. Wilanowska;6356;52.1654299910244;21.0839921236038;Wilanów
Arkadia;6357;52.2559960480504;20.9833288192749;Œródmieœcie
al. Jerozolimskie / ul.E. Plater (Mariott);6358;52.2280425698225;21.0049796104431;Œródmieœcie
Plac Politechniki – ul. Nowowiejska;6359;52.21984041887858;21.011738777160645;Œródmieœcie
Plac Politechniki – ul. Nowowiejska 1;63591;52.21984041887858;21.011695861816406;Œródmieœcie
Trasa Armii Ludowej, rejon Placu na Rozdro¿u;6360;52.2199094336799;21.0256862640381;Œródmieœcie
Metro Politechnika – Rondo Jazdy Polskiej;6361;52.2173886806455;21.0140991210938;Œródmieœcie
Plac Trzech Krzy¿y;6362;52.227838848845245;21.023545861244198;Œródmieœcie
Plac Konstytucji;6363;52.2228933996631;21.0157929360867;Œródmieœcie
ul. Waryñskiego – ul. Nowowiejska – Metro Politechnika;6364;52.2197311452238;21.0157366096973;Œródmieœcie
ul. Marsza³kowska, rejon ul. Z³otej;6365;52.2328855964877;21.0101723670959;Œródmieœcie
ul. Noakowskiego – ul.Koszykowa;6366;52.2225935332893;21.0081821680069;Œródmieœcie
ul. Marsza³kowska – Al. Jerozolimskie;6367;52.2293330547814;21.0113243758678;Œródmieœcie
Metro Stadion Narodowy;6368;52.247730090478704;21.043018698692322;Praga P³n.
ul. Floriañska – rejon Bazyliki Œw. Floriana;6369;52.25244946111211;21.030390858650208;Praga P³n.
ul. Wa³brzyska Al. KEN – Metro S³u¿ew;6370;52.173224376111214;21.025707721710205;Mokotów
ul. Wybrze¿e Helskie – ZOO – Wejœcie PN;6371;52.26126286311156;21.015660166740414;Praga P³n.
ul. Kijowska – Dworzec Wschodni;6372;52.25273845288172;21.051108241081238;Praga P³n.
Aleja Zieleniecka – Teatr Powszechny;6373;52.2471881681893;21.0476079583168;Praga P³d.
Rondo Waszyngtona – Stadion Narodowy;6374;52.2386479126934;21.0507220029831;Praga P³d.
Rondo Waszyngtona – Stadion Narodowy 1;63741;52.23871689826441;21.05082929134369;Praga P³d.
al. Jerozolimskie – Metro Centrum;6375;52.2300189433596;21.0109367966652;Œródmieœcie
Plac Zbawiciela – Nowowiejska – Mokotowska;6376;52.2197533286191;21.0174143314362;Œródmieœcie
ul. Œwiêtokrzyska – Rejon Ronda ONZ;6377;52.23278046176347;20.997651815414425;Œródmieœcie
Oczki – Akademia Medyczna;6378;52.2248486430822;21.00315570831299;Œródmieœcie
al. Jerozolimskie – Plac Zawiszy;6379;52.2248486430822;20.9897929430008;Ochota
ul. Raszyñska – Pomnik Lotnika;6380;52.21654072895435;20.987995862960815;Ochota
ul. Poznañska – Zespó³ Szkó³ Gastronomicznych;6381;52.2235070924771;21.0128907859325;Œródmieœcie
ul. Marsza³kowska – Metro Œwiêtokrzyska;6382;52.2363614730989;21.00733995437622;Œródmieœcie
Plac Wileñski;6383;52.255020764910995;21.03385627269745;Praga P³n.
ul. Ratuszowa – ZOO – wejœcie PD;6384;52.25373348968678;21.02287530899048;Praga P³n.
pl. Hallera – D¹browszczaków;6385;52.26140404717611;21.03057861328125;Praga P³n.
ul. Miêdzynarodowa – ul. Walecznych;6386;52.2365388734892;21.0648250579834;Praga P³d.
ul. Francuska – Walecznych;6387;52.23469913128726;21.05358123779297;Praga P³d.
ul. Lipowa – Dobra;6388;52.2417948596094;21.0241627693176;Œródmieœcie
ul. Lipowa – Dobra 1;63881;52.24188026424411;21.024232506752014;Œródmieœcie
pl. Grzybowski – Pró¿na;6389;52.2358481577903;21.0038611292839;Œródmieœcie
pl. Unii Lubelskiej – Pu³awska;6390;52.2131660166141;21.0211506485939;Mokotów
ul. Myœliwiecka – LO Stefana Batorego;6391;52.2220669137432;21.0343900322914;Œródmieœcie
Ratusz Bemowo;6392;52.238782598708504;20.91397225856781;Bemowo
Rondo Starzyñskiego;6393;52.26312776985749;21.021416187286373;Praga P³n.
ul. Emilii Plater – Œwiêtokrzyska;6394;52.2337463776774;21.002790927887;Œródmieœcie
ul. Emilii Plater – Al. Jerozolimskie;6395;52.22915973275686;21.005381941795346;Œródmieœcie
ul. Lindleya – Al. Jerozolimskie;6396;52.22621233332533;20.99614977836609;Œródmieœcie
ul. Grójecka – Pl. Narutowicza;6397;52.2179128907448;20.9828272461891;Ochota
ul. Bia³obrzeska – Kopiñska;6398;52.21787180867202;20.977578163146973;Ochota
Rondo Wiatraczna;6399;52.24450144963282;21.08378291130066;Praga P³d.
ul. Ksi¹¿êca – Rozbrat;6400;52.2297445891999;21.030235290527344;Œródmieœcie
ul. Œwiêtokrzyska rejon Nowego Œwiatu;6401;52.23689695730212;21.017639636993408;Œródmieœcie
